Dates;RH1;RH2;RH3;T;Label
01/01/2019 00:10;93.4;82.474;97.2;-1.988;93.6
01/01/2019 00:20;94.6;83.627;97.0;-2.197;93.2
01/01/2019 00:30;94.0;84.565;96.4;-2.114;93.1
01/01/2019 00:40;94.7;84.979;96.0;-2.256;92.8
01/01/2019 00:50;94.0;85.214;96.2;-2.411;92.7
01/01/2019 01:00;94.9;87.139;96.0;-2.341;92.6
01/01/2019 01:10;95.0;88.03;95.9;-2.409;92.2
01/01/2019 01:20;95.0;88.573;96.0;-2.386;92.1
01/01/2019 01:30;95.0;88.358;95.8;-2.314;92.0
01/01/2019 01:40;94.7;88.208;95.0;-2.31;91.6
01/01/2019 01:50;95.0;88.877;95.1;-2.355;91.3
01/01/2019 02:00;95.3;89.296;95.0;-2.264;91.3
01/01/2019 02:10;96.0;89.774;95.6;-2.292;91.2
01/01/2019 02:20;96.0;89.535;96.4;-2.268;91.3
01/01/2019 02:30;96.0;90.415;95.1;-2.141;91.2
01/01/2019 02:40;96.0;89.993;95.0;-2.236;90.9
01/01/2019 02:50;96.0;91.028;95.0;-2.19;91.0
01/01/2019 03:00;96.0;90.54;94.8;-2.114;91.1
01/01/2019 03:10;96.375;90.237;95.0;-2.355;90.7
01/01/2019 03:20;96.625;90.849;95.0;-2.454;90.9
01/01/2019 03:30;97.0;90.503;95.0;-2.437;91.0
01/01/2019 03:40;97.0;90.746;95.0;-2.593;91.0
01/01/2019 03:50;97.0;90.802;94.7;-2.52;91.2
01/01/2019 04:00;97.0;91.347;94.7;-2.572;91.2
01/01/2019 04:10;97.0;91.243;95.0;-2.845;91.2
01/01/2019 04:20;97.0;91.097;95.0;-2.905;91.5
01/01/2019 04:30;97.0;91.738;95.0;-3.02;91.4
01/01/2019 04:40;97.0;92.12;95.9;-3.052;91.6
01/01/2019 04:50;97.0;91.502;95.8;-3.071;91.6
01/01/2019 05:00;97.0;91.187;95.4;-3.045;91.7
01/01/2019 05:10;97.1;91.458;95.0;-3.222;91.7
01/01/2019 05:20;97.0;91.434;95.4;-3.396;91.7
01/01/2019 05:30;97.0;91.367;95.0;-3.439;91.9
01/01/2019 05:40;97.0;92.031;94.9;-3.463;92.0
01/01/2019 05:50;97.0;91.601;95.9;-3.301;92.0
01/01/2019 06:00;97.0;91.446;95.1;-3.219;91.9
01/01/2019 06:10;97.0;90.817;95.1;-3.13;91.7
01/01/2019 06:20;97.2222;91.314;96.0;-3.117;91.7
01/01/2019 06:30;98.0;91.493;96.0;-3.048;91.7
01/01/2019 06:40;97.125;92.092;96.0;-2.679;91.9
01/01/2019 06:50;97.875;92.152;96.1;-2.388;91.9
01/01/2019 07:00;98.0;92.39;97.6;-2.102;92.0
01/01/2019 07:10;98.0;92.987;98.0;-1.79;92.1
01/01/2019 07:20;98.0;92.791;97.6;-1.446;92.2
01/01/2019 07:30;98.0;93.311;98.0;-1.118;92.2
01/01/2019 07:40;98.0;93.24;98.0;-0.94;92.2
01/01/2019 07:50;98.0;93.016;98.0;-0.684;92.0
01/01/2019 08:00;98.0;92.889;98.0;-0.414;91.8
01/01/2019 08:10;98.0;93.144;97.0;-0.198;91.5
01/01/2019 08:20;98.0;92.806;96.5;0.027;91.1
01/01/2019 08:30;98.0;92.954;95.9;0.279;90.7
01/01/2019 08:40;98.0;93.111;96.5;0.484;90.2
01/01/2019 08:50;97.1;92.608;96.6667;0.619;89.5
01/01/2019 09:00;95.1;91.594;94.875;0.886;89.1
01/01/2019 09:10;91.5;91.362;93.7;1.341;88.2
01/01/2019 09:20;88.5;89.1275;92.4;1.598;87.4
01/01/2019 09:30;83.7;85.915;92.9;1.997;86.7
01/01/2019 09:40;76.1;85.1011;92.0;2.386;84.9
01/01/2019 09:50;74.0;85.1111;89.3;2.526;85.0
01/01/2019 10:00;75.9;83.5387;88.7;2.988;84.2
01/01/2019 10:10;74.7;81.6222;84.8;2.956;82.7
01/01/2019 10:20;73.0;80.385;80.2;2.834;83.8
01/01/2019 10:30;71.9;79.016;75.0;2.981;84.6
01/01/2019 10:40;69.7;76.75;71.9;3.737;82.5
01/01/2019 10:50;67.6;71.79;70.6;5.427;74.67
01/01/2019 11:00;64.9;63.287;64.1;6.891;67.62
01/01/2019 11:10;61.4;59.333;61.7;7.703;64.66
01/01/2019 11:20;60.9;56.705;58.7;8.5;61.99
01/01/2019 11:30;58.8;55.8878;57.7;8.76;59.17
01/01/2019 11:40;56.6;56.68;56.9;9.17;57.73
01/01/2019 11:50;52.9;55.805;53.7;9.72;55.98
01/01/2019 12:00;51.4;52.034;52.0;10.85;52.61
01/01/2019 12:10;50.3;48.818;50.7;11.4;52.15
01/01/2019 12:20;49.6;50.735;50.8;11.12;53.8
01/01/2019 12:30;49.2;50.617;51.6;11.49;53.0
01/01/2019 12:40;48.6;50.915;52.8889;11.19;54.23
01/01/2019 12:50;50.1;52.433;54.3333;11.44;55.43
01/01/2019 13:00;57.2;51.863;56.8;11.51;57.69
01/01/2019 13:10;59.5;52.906;58.4;11.94;59.66
01/01/2019 13:20;61.2;52.799;59.9;12.05;60.6
01/01/2019 13:30;60.5;54.607;61.0;12.3;59.42
01/01/2019 13:40;58.1;53.027;61.7;12.55;59.13
01/01/2019 13:50;56.6;52.718;61.4;12.73;58.48
01/01/2019 14:00;56.6;53.44;61.2;12.65;57.74
01/01/2019 14:10;56.5;51.676;59.7;12.48;56.05
01/01/2019 14:20;55.8;50.612;62.5;12.11;58.72
01/01/2019 14:30;59.2;51.396;66.375;12.07;61.5
01/01/2019 14:40;62.375;54.441;68.4286;11.89;63.61
01/01/2019 14:50;64.2222;57.445;69.0;11.53;65.35
01/01/2019 15:00;67.0;59.957;69.0;11.3;66.08
01/01/2019 15:10;68.2222;60.8;69.0;11.05;66.25
01/01/2019 15:20;68.1429;61.614;69.5;11.04;65.68
01/01/2019 15:30;68.8889;62.185;71.0;10.06;68.45
01/01/2019 15:40;70.0;64.74;73.5;9.26;72.05
01/01/2019 15:50;71.4444;70.724;75.1;8.11;75.11
01/01/2019 16:00;73.1429;72.866;76.2;6.804;79.81
01/01/2019 16:10;75.1111;72.87;79.2;5.511;83.4
01/01/2019 16:20;76.8;73.193;81.4;4.711;86.0
01/01/2019 16:30;77.9;77.407;83.6;3.712;87.6
01/01/2019 16:40;78.8;78.58;87.0;3.363;89.3
01/01/2019 16:50;79.4;78.982;88.8;2.79;90.0
01/01/2019 17:00;81.0;79.023;89.9;2.163;90.9
01/01/2019 17:10;81.3;79.169;91.5;1.874;91.6
01/01/2019 17:20;81.2;78.539;93.1;1.354;92.1
01/01/2019 17:30;83.7;80.781;93.875;1.32;92.7
01/01/2019 17:40;83.5;83.3;94.2;0.912;92.8
01/01/2019 17:50;84.4;86.297;93.3;0.451;93.0
01/01/2019 18:00;86.7;86.125;94.2;0.613;93.3
01/01/2019 18:10;87.0;86.549;95.1;0.163;93.3
01/01/2019 18:20;88.7;86.405;95.4;0.445;93.7
01/01/2019 18:30;90.7;87.886;95.4;0.481;93.9
01/01/2019 18:40;90.5;87.513;95.7;0.461;93.9
01/01/2019 18:50;91.3;88.653;97.0;0.04;93.9
01/01/2019 19:00;92.6;88.43;96.3;-0.411;93.9
01/01/2019 19:10;93.0;88.682;95.6;-0.381;94.1
01/01/2019 19:20;93.0;88.459;96.7;-0.475;94.2
01/01/2019 19:30;94.0;89.599;96.1;-0.611;94.2
